adjmatrix, occ_original, z_score, avg_random, stdev_random
"000100100", 889, -14.558950909, 947.810000000, 4.039439405
"001100000", 293, -12.802392914, 373.070000000, 6.254299531
"001100010", 0, 0.000000000, 0.000000000, 0.000000000
"010100100", 0, 0.000000000, 0.000000000, 0.000000000
"010100110", 1, inf, 0.000000000, 0.000000000
"011000000", 11878, -13.409443278, 11953.220000000, 5.609479711
"011001000", 70, 13.909296768, 14.100000000, 4.018894767
"011100000", 18, 4.105746320, 0.680000000, 4.218477872
"011100010", 1, inf, 0.000000000, 0.000000000
"011100100", 0, 0.000000000, 0.000000000, 0.000000000
"011101000", 0, 0.000000000, 0.000000000, 0.000000000
"011101100", 0, 0.000000000, 0.000000000, 0.000000000
"011101110", 0, 0.000000000, 0.000000000, 0.000000000
